順位,名前,点数
972,萩原電気,600
973,広島ガス,460
974,滋賀銀行,390
975,Ｇ－７ホールディングス,360
976,東京応化工業,790
977,ユニバーサルエンターテインメント,640
978,クワザワ,310
979,キーエンス,260
980,西川ゴム工業,810
981,リテールパートナーズ,730
982,フルサト工業,640
983,カッパ・クリエイト,560
984,大倉工業,640
985,三菱総合研究所,1050
986,日本管財,670
987,トリドール,580
988,持田製薬,370
989,堺化学工業,840
990,椿本興業,720
991,新日本空調,440
992,アイフル,200
993,タムラ製作所,740
994,大本組,350
995,Ｋ＆Ｏエナジーグループ,660
996,名工建設,710
997,テクノアソシエ,320
998,古野電気,610
999,アルプス物流,700
1000,ザ・パック,580
1001,理想科学工業,810
1002,ライト工業,580
1003,理研ビタミン,670
1004,カネ美食品,700
1005,中央発條,200
1006,ナック,530
1007,富士機械製造,720
1008,井筒屋,110
1009,新興プランテック,680
1010,東武ストア,170
1011,松井建設,500
1012,大同メタル工業,800
1013,ルネサスイーストン,440
1014,日本ハウズイング,720
1015,マルキョウ,560
1016,日本ＫＦＣホールディングス,780
1017,オエノンホールディングス,450
1018,ピジョン,250
1019,フーマイスターエレクトロニクス,890
1020,ラウンドワン,310
1021,ワンダーコーポレーション,790
1022,綿半ホールディングス,570
1023,ＯＣＨＩホールディングス,360
1024,ＣＫＤ,1
1025,東京ドーム,340
1026,ＰＬＡＮＴ,1
1027,東海東京フィナンシャル・ホールディングス,1080
1028,ハリマ化成グループ,700
1029,八洲電機,340
1030,メルコホールディングス,780
1031,矢作建設工業,870
1032,メイテック,590
1033,愛知電機,250
1034,日本工営,560
1035,荒川化学工業,780
1036,南都銀行,340
1037,松屋,120
1038,テクノプロ・ホールディングス,720
1039,松屋フーズ,170
1040,東京産業,430
1041,オカモト,260
1042,百五銀行,660
1043,加藤製作所,710
1044,日本電計,670
1045,朝日放送,180
1046,澁谷工業,420
1047,日本新薬,680
1048,築地魚市場,360
1049,ファルテック,530
1050,フジ住宅,360
1051,富士興産,310
1052,メッセージ,230
1053,特種東海製紙,860
1054,永谷園ホールディングス,590
1055,電通国際情報サービス,1010
1056,ライトオン,200
1057,高圧ガス工業,870
1058,尾家産業,110
1059,タキヒヨー,200
1060,百十四銀行,750
1061,ファンケル,500
1062,スミダコーポレーション,790
1063,太平電業,130
1064,大崎電気工業,810
1065,ゼロ,250
1066,タカラレーベン,580
1067,ジャムコ,310
1068,東テク,340
1069,アイダエンジニアリング,470
1070,象印マホービン,500
1071,アデランス,310
1072,桧家ホールディングス,720
1073,ＦＤＫ,1
1074,鬼怒川ゴム工業,830
1075,武蔵野銀行,460
1076,泉州電業,310
1077,日本アジアグループ,720
1078,新日本電工,490
1079,王将フードサービス,370
1080,シンフォニア　テクノロジー,670
1081,エレコム,560
1082,月島機械,770
1083,コスモスイニシア,470
1084,メディカルシステムネットワーク,880
1085,パラマウントベッドホールディングス,1020
1086,天馬,60
1087,コロナ,500
1088,エコートレーディング,660
1089,ＤＴＳ,1
1090,はごろもフーズ,360
1091,サンリオ,260
1092,ワコム,260
1093,ブックオフコーポレーション,730
1094,紀陽銀行,610
1095,りらいあコミュニケーションズ,760
1096,グローブライド,680
1097,北國銀行,670
1098,天満屋ストア,150
1099,日本シイエムケイ,710
1100,タムロン,260
1101,クロスプラス,680
1102,東京製綱,380
